Date,Symbols,Close,High,Low,Open,Volume
2021-01-14,TSLA,845.0,863.0,838.75,843.39,31266327
2021-01-14,MSFT,210.8,215.21,210.53,213.67,29653919
2021-01-14,V,200.31,209.57,200.18,208.94,12987738
2021-01-14,MA,324.87,347.38,324.63,346.49,8767432
2021-01-13,AMZN,3165.89,3189.95,3122.08,3128.44,3321244
2021-01-13,AAPL,129.91,130.47,127.54,127.81,89296881
2021-01-13,GOOGL,1747.25,1756.39,1727.32,1727.32,1171590
2021-01-13,FB,251.64,253.95,249.2,251.55,19528938
2021-01-13,MRNA,124.06,127.58,120.74,123.7,14324644
2021-01-13,BA,207.21,208.79,204.85,207.15,8570469
2021-01-13,TSLA,854.41,860.47,832.0,852.76,33312496
2021-01-13,MSFT,214.1,214.52,211.71,211.8,20297339
2021-01-13,V,207.74,209.36,207.02,207.8,6740498
2021-01-13,MA,344.14,347.55,342.07,347.41,4152211
2021-01-12,AMZN,3120.83,3142.1418,3086.0,3120.0,3514582
2021-01-12,AAPL,127.85,128.74,125.93,127.55,92635876
2021-01-12,GOOGL,1737.43,1767.9,1716.375,1745.36,1476715
2021-01-12,FB,251.09,259.72,250.3,256.63,26449943
2021-01-12,MRNA,124.55,124.91,117.12,117.93,15300721
2021-01-12,BA,208.41,209.06,204.81,206.65,12836218
2021-01-12,TSLA,849.44,868.0,827.34,831.0,46270720
2021-01-12,MSFT,212.71,214.86,211.1,214.26,23492695
2021-01-12,V,207.25,211.15,205.88,210.7,9404207
2021-01-12,MA,340.76,345.81,333.92,344.89,4888925
2021-01-11,AMZN,3114.21,3156.3841,3110.0,3148.01,3669095
2021-01-11,AAPL,128.03,129.22,127.55,128.24,101370172
2021-01-11,GOOGL,1756.29,1784.38,1752.14,1777.02,1740618
2021-01-11,FB,256.84,263.47,255.9,260.48,30412286
2021-01-11,MRNA,117.26,121.24,112.62,112.75,16650648
2021-01-11,BA,206.79,207.7799,201.01,203.03,16789281
2021-01-11,TSLA,811.19,854.43,803.6222,849.4,59554146
2021-01-11,MSFT,215.24,216.64,214.49,216.2,23288270
2021-01-11,V,211.25,213.2,210.84,212.31,7411743
2021-01-11,MA,346.01,351.19,345.6,349.89,2418703
2021-01-08,AMZN,3182.7,3190.64,3142.2,3180.0,3537744
2021-01-08,AAPL,131.07,131.65,129.28,131.45,105941325
2021-01-08,GOOGL,1797.83,1799.355,1761.22,1777.16,1774226
2021-01-08,FB,267.57,268.95,263.18,268.31,18528251
2021-01-08,MRNA,112.75,117.71,111.49,116.52,12376939
2021-01-08,BA,209.9,214.1,208.155,213.61,14144017
2021-01-08,TSLA,880.02,884.49,838.39,856.0,75055528
2021-01-08,MSFT,217.35,218.29,214.79,216.41,23196496
2021-01-08,V,213.79,214.45,211.11,212.52,6563950
2021-01-08,MA,351.61,352.74,347.29,349.15,3392891
2021-01-07,AMZN,3162.16,3208.542,3155.0,3157.0,3514545
2021-01-07,AAPL,129.94,130.65,126.91,127.41,110394150
2021-01-07,GOOGL,1774.34,1777.82,1726.76,1726.76,2096829
2021-01-07,FB,268.74,271.61,264.78,265.9,15789756
2021-01-07,MRNA,115.09,122.82,112.13,120.1,20614071
2021-01-07,BA,212.71,216.6,211.78,213.39,14474098
2021-01-07,TSLA,816.04,816.99,775.2,777.63,51498948
2021-01-07,MSFT,216.02,217.07,211.49,211.82,27984368
2021-01-07,V,212.16,213.56,210.56,210.56,11053196
2021-01-07,MA,347.66,350.15,346.19,346.75,3119824
2021-01-06,AMZN,3138.38,3197.509,3131.16,3146.48,4394815
2021-01-06,AAPL,125.67,130.07,125.45,126.77,156242860
2021-01-06,GOOGL,1722.88,1743.965,1696.1014,1700.255,2329401
2021-01-06,FB,263.31,267.75,260.01,262.0,24354149
2021-01-06,MRNA,116.26,116.93,110.28,111.11,21590934
2021-01-06,BA,211.03,215.61,209.34,210.22,16202157
2021-01-06,TSLA,755.98,774.0,749.1,758.49,44699965
2021-01-06,MSFT,210.05,214.25,209.75,209.98,36306751
2021-01-06,V,210.98,214.5,210.43,212.15,7262310
2021-01-06,MA,344.92,351.34,341.96,347.78,3997253
2021-01-05,AMZN,3218.51,3223.38,3165.06,3166.01,2655548
2021-01-05,AAPL,130.03,130.76,127.48,127.94,98392176
2021-01-05,GOOGL,1740.05,1746.83,1716.9,1725.09,1017962
2021-01-05,FB,270.97,272.4,268.2111,268.29,9871557
2021-01-05,MRNA,109.18,114.98,107.2,113.82,15450804
2021-01-05,BA,211.63,213.35,204.6,204.74,19338304
2021-01-05,TSLA,735.11,740.84,719.2,723.66,32245165
2021-01-05,MSFT,215.64,216.25,213.46,215.02,24072316
2021-01-05,V,212.85,216.77,212.0,214.64,6923162
2021-01-05,MA,344.79,350.33,342.82,346.17,3013451
2021-01-04,AMZN,3186.63,3272.0,3144.02,3270.0,4411449
2021-01-04,AAPL,128.46,132.62,125.83,132.53,144369010
2021-01-04,GOOGL,1726.13,1762.4899,1707.14,1760.0,1866195
2021-01-04,FB,268.94,275.0,265.2,274.78,15106113
2021-01-04,MRNA,111.73,113.63,103.26,107.23,22439554
2021-01-04,BA,202.72,210.2,202.4911,210.0,21225594
2021-01-04,TSLA,729.77,744.4899,717.1895,719.46,48638189
2021-01-04,MSFT,215.44,220.7,212.59,220.23,37518793
2021-01-04,V,216.07,218.54,212.59,218.54,10398601
2021-01-04,MA,348.84,355.42,344.73,355.3,4673699
2020-12-31,AMZN,3256.93,3282.9219,3241.2,3275.0,2957206
2020-12-31,AAPL,131.71,133.74,130.74,133.09,99854675
2020-12-31,GOOGL,1752.64,1757.5,1736.09,1737.27,1053479
2020-12-31,FB,273.16,277.09,269.81,272.0,12900408
2020-12-31,MRNA,104.47,113.55,102.66,110.55,23369872
2020-12-31,BA,214.06,216.9,212.7,216.24,10487567
2020-12-31,TSLA,705.67,718.72,691.12,699.99,49649928
2020-12-31,MSFT,220.12,220.7,217.41,219.41,21161341
2020-12-31,V,217.04,218.13,214.53,216.71,5968241
2020-12-31,MA,354.24,356.68,350.58,352.34,2903722
2020-12-30,AMZN,3285.85,3342.1,3282.47,3341.0,3209310
2020-12-30,AAPL,132.73,134.99,132.41,134.54,97170372
2020-12-30,GOOGL,1736.25,1767.76,1728.0,1765.0,1051308
2020-12-30,FB,271.87,278.08,271.71,277.95,11803795
2020-12-30,MRNA,111.13,118.9408,108.8,118.4,23965535
2020-12-30,BA,216.67,218.554,214.365,216.36,10812617
2020-12-30,TSLA,694.78,696.6,668.3603,672.0,42846021
2020-12-30,MSFT,219.39,223.29,219.18,222.89,20484534
2020-12-30,V,216.67,218.68,213.99,214.34,8944110
2020-12-30,MA,352.86,355.12,344.58,346.05,4232644
2020-12-29,AMZN,3322.0,3350.65,3281.223,3309.94,4872933
2020-12-29,AAPL,133.87,137.76,133.35,137.03,121948725
2020-12-29,GOOGL,1757.76,1788.47,1755.11,1787.23,986287
2020-12-29,FB,276.78,280.51,276.28,276.95,16382995
2020-12-29,MRNA,114.39,116.25,106.88,107.7957,23718799
2020-12-29,BA,216.25,221.68,215.4,218.3,14593765
2020-12-29,TSLA,665.99,669.9,655.0,661.0,22910811
2020-12-29,MSFT,221.81,224.84,221.26,223.97,17585378
2020-12-29,V,212.71,213.58,211.9,212.95,6140816
2020-12-29,MA,344.03,346.12,342.16,345.15,2844517
2020-12-28,AMZN,3283.96,3304.0,3172.69,3194.0,5686787
